,,,,,Label
./OID/Dataset/train/00014b4ab6669708.jpg,168,508,807,682,Couch
./OID/Dataset/train/00018571f3c267da.jpg,235,417,628,630,Couch
./OID/Dataset/train/00037418480b82d5.jpg,0,393,924,767,Table
./OID/Dataset/train/00074503ceae5131.jpg,0,0,1023,682,Bed
./OID/Dataset/train/000a54f1bdb96839.jpg,0,29,767,1023,Bed
./OID/Dataset/train/000da932ca7e68e4.jpg,0,224,771,679,Bed
./OID/Dataset/train/000da932ca7e68e4.jpg,301,193,920,623,Bed
./OID/Dataset/train/00119232bc393ce2.jpg,289,298,1023,767,Table
./OID/Dataset/train/0014f79a71bd5e17.jpg,615,0,899,139,Table
./OID/Dataset/train/0014f79a71bd5e17.jpg,948,209,1023,349,Table
./OID/Dataset/train/001621ce2c73b450.jpg,717,292,1023,552,Couch
./OID/Dataset/train/00182e06281874be.jpg,124,219,454,462,Table
./OID/Dataset/train/00182e06281874be.jpg,513,129,637,183,Table
./OID/Dataset/train/00182e06281874be.jpg,574,171,771,302,Table
./OID/Dataset/train/0018a6bad69af631.jpg,0,244,1023,767,Bed
./OID/Dataset/train/001db64c9594f669.jpg,289,280,1023,685,Table
./OID/Dataset/train/001db64c9594f669.jpg,698,171,924,257,Table
./OID/Dataset/train/001e5ad725a4c7c3.jpg,0,227,390,767,Table
./OID/Dataset/train/001e5ad725a4c7c3.jpg,689,241,1023,767,Table
./OID/Dataset/train/002152665bce2895.jpg,18,344,1023,667,Couch
./OID/Dataset/train/0022272ce16bc3b3.jpg,0,310,1014,681,Couch
./OID/Dataset/train/0026f962ade5fc45.jpg,0,22,929,984,Couch
./OID/Dataset/train/002729cb73943ee8.jpg,142,283,510,519,Couch
./OID/Dataset/train/0027ea2ab5c65444.jpg,635,288,1023,500,Couch
./OID/Dataset/train/002805dba2acb503.jpg,0,225,269,490,Couch
./OID/Dataset/train/002805dba2acb503.jpg,712,310,1023,767,Couch
./OID/Dataset/train/00295689562e67a7.jpg,0,243,773,682,Table
./OID/Dataset/train/0029fa0bdac89fc7.jpg,176,430,856,608,Couch
./OID/Dataset/train/002f592a7c3e5c3c.jpg,0,95,870,682,Couch
./OID/Dataset/train/0032df877f964819.jpg,8,134,995,1023,Couch
./OID/Dataset/train/003650854be08229.jpg,33,32,991,989,Bed
